REGIONID,PORTFOLIO,STATIONNAME,DUID,FUEL,TransmissionLossFactor,CAPACITY,STARTDATE,ENDDATE
NSW1,Acciona,Gunning Wind Farm,GUNNING1,Wind,0.9521,47,2011-03-25T00:00:00,2999-12-31T00:00:00
NSW1,ACEN Australia,New England Solar Farm,NEWENSF1,Solar,0.8803,200,2022-12-20T00:00:00,2999-12-31T00:00:00
NSW1,ACEN Australia,New England Solar Farm,NEWENSF2,Solar,0.8803,200,2022-12-20T00:00:00,2999-12-31T00:00:00
NSW1,ACEN Australia,Stubbo Solar Farm,STUBSF1,Solar,0.9429,202,2024-12-17T00:00:00,2999-12-31T00:00:00
NSW1,ACEN Australia,Stubbo Solar Farm,STUBSF2,Solar,0.9429,198,2024-12-17T00:00:00,2999-12-31T00:00:00
NSW1,AGL,Bayswater,BW01,Black Coal,0.9637,735,1998-10-25T00:00:00,2999-12-31T00:00:00
NSW1,AGL,Bayswater,BW02,Black Coal,0.9637,760,1998-10-25T00:00:00,2999-12-31T00:00:00
NSW1,AGL,Bayswater,BW03,Black Coal,0.9632,760,1998-10-25T00:00:00,2999-12-31T00:00:00
NSW1,AGL,Bayswater,BW04,Black Coal,0.9632,760,1998-10-25T00:00:00,2999-12-31T00:00:00
NSW1,AGL,Broken Hill Battery Energy Storage System,BHB1,Battery,0.8999,50,2024-07-04T00:00:00,2999-12-31T00:00:00
NSW1,AGL,Broken Hill Battery Energy Storage System,BHBG1,Battery,0.8423,50,2023-11-28T00:00:00,2024-07-26T00:00:00
NSW1,AGL,Broken Hill Solar Plant,BROKENH1,Solar,0.8642,53,2015-08-25T00:00:00,2999-12-31T00:00:00
NSW1,AGL,Hunter Valley GT,HVGTS,Other,0.9641,50,1998-10-25T00:00:00,2022-03-15T00:00:00
NSW1,AGL,Liddell,LD01,Black Coal,0.9659,550,1998-10-25T00:00:00,2023-05-01T00:00:00
NSW1,AGL,Liddell,LD02,Black Coal,0.9659,550,1998-10-25T00:00:00,2023-05-01T00:00:00
NSW1,AGL,Liddell,LD03,Black Coal,0.9556,550,1998-10-25T00:00:00,2022-04-02T00:00:00
NSW1,AGL,Liddell,LD04,Black Coal,0.9659,550,1998-10-25T00:00:00,2023-05-01T00:00:00
NSW1,AGL PARF NSW,Nyngan Solar Plant,NYNGAN1,Solar,0.9793,102,2014-12-16T00:00:00,2999-12-31T00:00:00
NSW1,AGL PARF NSW,Silverton Wind Farm,STWF1,Wind,0.8627,198,2018-02-26T00:00:00,2999-12-31T00:00:00
NSW1,Akaysha,Waratah Super Battery,WTAHB1,Battery,0.9884,850,2024-09-03T00:00:00,2999-12-31T00:00:00
NSW1,AMP Energy Green,Hillston Sun Farm,HILLSTN1,Solar,0.8888,85,2021-10-05T00:00:00,2999-12-31T00:00:00
NSW1,Banpu Energy Australia,Beryl Solar Farm,BERYLSF1,Solar,0.9284,87,2019-04-11T00:00:00,2999-12-31T00:00:00
NSW1,Banpu Energy Australia,Manildra Solar Farm,MANSLR1,Solar,0.94,46,2018-04-20T00:00:00,2999-12-31T00:00:00
NSW1,BJEI Australia,Wollar Solar Farm,WOLARSF1,Solar,0.957,280,2024-12-17T00:00:00,2999-12-31T00:00:00
NSW1,Boco Rock Wind Farm,Boco Rock Wind Farm,BOCORWF1,Wind,0.9557,113,2014-08-29T00:00:00,2999-12-31T00:00:00
NSW1,Corowa Operationsco,Corowa Solar Farm,CRWASF1,Solar,0.9355,30,2021-02-09T00:00:00,2999-12-31T00:00:00
NSW1,Delta Electricity,Munmorah,MM3,Black Coal,0.9857,310,1998-10-25T00:00:00,2014-05-29T00:00:00
NSW1,Delta Electricity,Munmorah,MM4,Black Coal,0.9857,310,1998-10-25T00:00:00,2014-05-29T00:00:00
NSW1,Delta Electricity,Vales Pt,VP5,Black Coal,0.9868,680,1998-10-25T00:00:00,2999-12-31T00:00:00
NSW1,Delta Electricity,Vales Pt,VP6,Black Coal,0.9868,680,1998-10-25T00:00:00,2999-12-31T00:00:00
NSW1,Edify Energy,Darlington Point Solar Farm,DARLSF1,Solar,0.8854,275,2020-08-11T00:00:00,2999-12-31T00:00:00
NSW1,Elliott Green Power Limited,Nevertire Solar Farm,NEVERSF1,Solar,0.923,105,2019-12-02T00:00:00,2999-12-31T00:00:00
NSW1,Energy Australia,Darlington Point Energy Storage System,DPNTB1,Battery,0.9185,25,2024-07-18T00:00:00,2999-12-31T00:00:00
NSW1,Energy Australia,Darlington Point Energy Storage System,DPNTBG1,Battery,0.9048,25,2023-05-30T00:00:00,2024-08-14T00:00:00
NSW1,Energy Australia,Gullen Range Wind Farm,GULLRWF1,Wind,0.962,161,2013-11-19T00:00:00,2999-12-31T00:00:00
NSW1,Energy Australia,Gullen Range Wind Farm,GULLRWF2,Wind,0.962,107,2020-05-19T00:00:00,2999-12-31T00:00:00
NSW1,Energy Australia,Mt Piper,MP1,Black Coal,0.9727,730,1998-10-25T00:00:00,2999-12-31T00:00:00
NSW1,Energy Australia,Mt Piper,MP2,Black Coal,0.9727,700,1998-10-25T00:00:00,2999-12-31T00:00:00
NSW1,Energy Australia,Riverina Energy Storage System 2,RIVNB2,Battery,0.9173,65,2024-07-18T00:00:00,2999-12-31T00:00:00
NSW1,Energy Australia,Riverina Energy Storage System 2,RIVNBG2,Battery,0.9048,65,2023-05-23T00:00:00,2024-08-14T00:00:00
