DUID,REGION,UNIT_NAME
APPIN,NSW,Appin Power Plant
AVLSF1,NSW,Avonlie Solar Farm
BANGOWF1,NSW,Bango 973 Wind Farm
BANGOWF2,NSW,Bango 999 Wind Farm
BW01,NSW,Bayswater Power Station
BW02,NSW,Bayswater Power Station
BW03,NSW,Bayswater Power Station
BW04,NSW,Bayswater Power Station
BERYLSF1,NSW,Beryl Solar Farm
BLOWERNG,NSW,Blowering Power Station
BOCORWF1,NSW,Boco Rock Wind Farm
BODWF1,NSW,Bodangora Wind Farm
BOMENSF1,NSW,Bomen Solar Farm
BWTR1,NSW,Broadwater Power Station
BHB1,NSW,Broken Hill Battery Energy Storage System
GB01,NSW,Broken Hill Gas Turbines
BROKENH1,NSW,Broken Hill Solar Plant
BROWNMT,NSW,Brown Mountain Hydro Power Station
BDONGHYD,NSW,Burrendong Hydro Power Station
BURRIN,NSW,Burrinjuck Hydro Power Station
CAPBES1,NSW,Capital Battery
CESF1,NSW,Capital East Solar Farm
CAPTL_WF,NSW,Capital Wind Farm
COLEASF1,NSW,Coleambally Solar Farm
COLWF01,NSW,Collector Wind Farm 1
CG1,NSW,Colongra Power Station
CG2,NSW,Colongra Power Station
CG3,NSW,Colongra Power Station
CG4,NSW,Colongra Power Station
CONDONG1,NSW,Condong Power Station
COPTNHYD,NSW,Copeton Hydro Power Station
CRWASF1,NSW,Corowa Solar Farm
CROOKWF2,NSW,Crookwell 2 Wind Farm
CROOKWF3,NSW,Crookwell 3 Wind Farm
CRURWF1,NSW,Crudine Ridge Wind Farm
CUSF1,NSW,Culcairn Solar Farm
CULLRGWF,NSW,Cullerin Range Wind Farm
DPNTB1,NSW,Darlington Point Energy Storage System
DARLSF1,NSW,Darlington Point Solar Farm
EASTCRK2,NSW,Eastern Creek 2 Gas Utilisation Facility
EASTCRK,NSW,Eastern Creek LFG PS Units 1-4
ERB01,NSW,Eraring Battery Energy Storage System
ER01,NSW,Eraring Power Station
ER02,NSW,Eraring Power Station
ER03,NSW,Eraring Power Station
ER04,NSW,Eraring Power Station
ERGT01,NSW,Eraring Power Station
FINLYSF1,NSW,Finley Solar Farm
FLYCRKWF,NSW,Flyers Creek Wind Farm
GLBWNHYD,NSW,Glenbawn Hydro Power Station
GLENNCRK,NSW,Glennies Creek Power Station
GOONSF1,NSW,Goonumbla Solar Farm
GRANGEAV,NSW,Grange Avenue Landfill Gas Power Station
GRIFSF1,NSW,Griffith Solar Farm
GULLRSF1,NSW,Gullen Range Solar Farm
GULLRWF1,NSW,Gullen Range Wind Farm
GULLRWF2,NSW,Gullen Range Wind Farm
GNNDHSF1,NSW,Gunnedah Solar Farm
GUNNING1,NSW,Gunning Wind Farm
GUTHEGA,NSW,Guthega Power Station
HILLSTN1,NSW,Hillston Sun Farm
HUMENSW,NSW,Hume (NSW) Hydro Power Station
HEZ1,NSW,Hunter Economic Zone
HUNTER1,NSW,Hunter Power Station
HUNTER2,NSW,Hunter Power Station
JACKSGUL,NSW,Jacks Gully Landfill Gas Power Station
JEMALNG1,NSW,Jemalong Solar Project
JNDABNE1,NSW,Jindabyne Small Hydro Power Station
JOUNAMA1,NSW,Jounama Small Hydro Power Station
JUNEESF1,NSW,Junee Solar Farm
KEEPIT,NSW,Keepit Hydro Power Station
LIMOSF11,NSW,Limondale Solar Farm 1
LIMOSF21,NSW,Limondale Solar Farm 2
LUCAS2S2,NSW,Lucas Heights 2 Power Station
LUCASHGT,NSW,Lucas Heights 2 Power Station
MANSLR1,NSW,Manildra solar Farm
METZSF1,NSW,Metz Solar Farm
MOLNGSF1,NSW,Molong Solar Farm
MOREESF1,NSW,Moree Solar Farm
MP1,NSW,Mt Piper Power Station
MP2,NSW,Mt Piper Power Station
MLSP1,NSW,Mugga Lane Solar Park
NASF1,NSW,Narromine Solar Farm
NEVERSF1,NSW,Nevertire Solar Farm
NEWENSF1,NSW,New England Solar Farm
NEWENSF2,NSW,New England Solar Farm
NYNGAN1,NSW,Nyngan Solar Plant
PARSF1,NSW,Parkes Solar Farm
PINDARI,NSW,Pindari Hydro Power Station
QBYNB1,NSW,Queanbeyan BESS
QBYNBG1,NSW,Queanbeyan BESS
QBYNBL1,NSW,Queanbeyan BESS
RIVNB2,NSW,Riverena Energy Storage System 2
RESS1,NSW,Riverina Energy Storage System 1
ROYALLA1,NSW,Royalla Solar Farm
RYEPARK1,NSW,Rye Park Renewable Energy
SUNRSF1,NSW,SUNRAYSIA SF
SAPHWF1,NSW,Sapphire Wind Farm
SEBSF1,NSW,Sebastopol Solar Farm
SHGEN,NSW,Shoalhaven Power Station (Bendeela And Kangaroo Valley Power Station And Pumps)
SHPUMP,NSW,Shoalhaven Power Station (Bendeela And Kangaroo Valley Power Station And Pumps)
SHOAL1,NSW,Shoalhaven Starches Cogeneration Plant
STWF1,NSW,Silverton Wind Farm
SITHE01,NSW,Smithfield Energy Facility
SKSF1,NSW,South Keswick Solar Farm
STUBSF1,NSW,Stubbo Solar Farm 1
STUBSF2,NSW,Stubbo Solar Farm 2
SUNTPSF1,NSW,Suntop Solar Farm
TAHMOOR1,NSW,Tahmoor Waste Coal Mine Gas Power Station
TALWA1,NSW,Tallawarra Power Station
TALWB1,NSW,Tallawarra Power Station
TARALGA1,NSW,Taralga Wind Farm
THEDROP1,NSW,The Drop Power Station
TOWER,NSW,Tower Power Plant
TUMUT3,NSW,Tumut 3 Power Station
SNOWYP,NSW,Tumut 3 Pumps
UPPTUMUT,NSW,Tumut Power Station
URANQ11,NSW,Uranquinty Power Station
URANQ12,NSW,Uranquinty Power Station
URANQ13,NSW,Uranquinty Power Station
URANQ14,NSW,Uranquinty Power Station
VP5,NSW,"Vales Point ""B"" Power Station"
VP6,NSW,"Vales Point ""B"" Power Station"
WAGGNSF1,NSW,Wagga North Solar Farm
WLWLSF1,NSW,Walla Walla Solar Farm 1
WLWLSF2,NSW,Walla Walla Solar Farm 2
WALGRV1,NSW,Wallgrove BESS 1
WTAHB1,NSW,Waratah Super Battery
WELNSF1,NSW,Wellington North Solar Farm
WELLSF1,NSW,Wellington Solar Farm
WESTILL1,NSW,West Illawarra Leagues Club Plant
WSTWYSF1,NSW,West Wyalong Solar Farm
WESTCBT1,NSW,Western Suburbs League Club (Campbelltown) Plant
WRSF1,NSW,White Rock Solar Farm
WRWF1,NSW,White Rock Wind Farm
WILGB01,NSW,Wilga Park B
WILGAPK,NSW,Wilga Park Power Station
WOLARSF1,NSW,Wollar Solar Farm
WDLNGN01,NSW,Woodlawn Bioreactor Energy Generation Station
WOODLWN1,NSW,Woodlawn Wind Farm
WYASF1,NSW,Wyalong Solar Farm
WYANGALA,NSW,Wyangala A Power Station
WYANGALB,NSW,Wyangala B Power Station
ALDGASF1,QLD,Aldoga Solar Farm
BAKING1,QLD,Baking Board Solar Farm
BARCALDN,QLD,Barcaldine Power Station
BARCSF1,QLD,Barcaldine Solar Farm
BARRON-1,QLD,Barron Gorge Power Station
BARRON-2,QLD,Barron Gorge Power Station
BLUEGSF1,QLD,Blue Grass Solar Farm
BBATTERY1,QLD,Bouldercombe Battery Project
BRAEMAR5,QLD,Braemar 2 Power Station
BRAEMAR6,QLD,Braemar 2 Power Station
BRAEMAR7,QLD,Braemar 2 Power Station
BRAEMAR1,QLD,Braemar Power Station
