DUID,Owner,Number of Units,Nameplate Capacity (MW)
ADPPV3,South Australian Water Corporation,1,0.02
ADPMH1,South Australian Water Corporation,1,1
ADPPV2,South Australian Water Corporation,5,13.75
ADPBA1,South Australian Water Corporation,1,7.76
ADPPV1,South Australian Water Corporation,4,11
ALDGASF1,Acciona Energy Australia Global Pty Ltd,157,387.01
ANGAST1,Snowy Hydro Ltd,1,15.4
ANGAST1,Snowy Hydro Ltd,1,30.8
APPIN,EDL CSM NSW Pty Ltd,54,55.62
ARWF1,Ararat Wind Farm Pty Ltd,75,240
AVLSF1,Iberdrola Australia Limited,70,254.1
BDL01,Alinta DEBO,1,47
BDL02,Alinta DEBO,1,47
BAKING1,Chinchilla Solar Pty Ltd,1,14.7
BALDHWF1,Bald Hills Wind Farm Pty Ltd,52,106.6
BBASEHOS,Ballarat Health Services,2,1.6
BALB1,Ausnet Transmission Group Pty Ltd,1,30
BANGOWF1,BWF Nominees Pty Ltd as trustee for the BWF Trust,30,159
BANGOWF2,BWF Nominees Pty Ltd as trustee for the BWF Trust,16,84.8
BAPS,AGL Hydro Partnership,1,2.2
BAPS,AGL Hydro Partnership,1,10
BANN1,Foresight Solar Australia Pty Ltd,40,100
BEER01,Birdwood Energy Reserve Pty Ltd (ACN 658 507 441) as Trustee for Birdwood Energy Reserve Trust,124,544.36
BARCALDN,Ergon Energy Queensland Pty Ltd,1,37
BARCSF1,Barcaldine Remote Community Solar Farm Pty Ltd,1,20
BARKIPS1,AGL Barker Inlet Pty Ltd,12,210
BARRON-1,CleanCo Queensland Limited,1,35
BARRON-2,CleanCo Queensland Limited,1,35
BASTYAN,Hydro-Electric Corporation,1,79.9
BW01,AGL Macquarie Pty Limited,1,660
BW02,AGL Macquarie Pty Limited,1,685
BW03,AGL Macquarie Pty Limited,1,685
BW04,AGL Macquarie Pty Limited,1,685
BBTHREE1,AETV Pty Ltd,1,40
BBTHREE2,AETV Pty Ltd,1,40
BBTHREE3,AETV Pty Ltd,1,40
BRYB2WF2,Berrbank Development Pty ltd,26,109.2
BRYB1WF1,Berrbank Development Pty ltd,43,180.6
BERYLSF1,FS NSW Project No 1 AT Pty Ltd as trustee of FS NSW Project No 1 Asset Trust,60,98.4
BIRKBESS,FRV Services Australia Pty Ltd,57,199.5
BLOWERNG,Snowy Hydro Ltd,1,80
