date,time,duid,region,station,previous_mw,current_mw,drop_mw
2026-07-28,20:40:00,W/HOE#2,QLD1,Wivenhoe,163.25,0.0,-163.25
2026-08-20,17:00:00,MURRAY,VIC1,Murray,109.5,1.3,-108.2
2026-08-20,17:45:00,UPPTUMUT,NSW1,Upper Tumut,460.10101,355.32184,-104.77916999999997
2026-08-20,17:50:00,UPPTUMUT,NSW1,Upper Tumut,355.32184,249.8533,-105.46854000000002
2026-08-20,17:55:00,UPPTUMUT,NSW1,Upper Tumut,249.8533,144.79636,-105.05694
2026-08-20,18:00:00,BARKIPS1,SA1,Barker Inlet,192.31,87.63,-104.68
2026-08-20,18:25:00,MURRAY,VIC1,Murray,695.40002,505.89999,-189.50003000000004
2026-08-20,19:40:00,MCKAY1,VIC1,Bogong_Mackay,219.895,68.93,-150.965
2026-08-20,20:10:00,MURRAY,VIC1,Murray,752.60004,650.0,-102.60004000000004
2026-08-20,20:15:00,TUMUT3,NSW1,Tumut3,250.03999,123.57,-126.46999
2026-08-20,20:20:00,TUMUT3,NSW1,Tumut3,123.57,-0.31,-123.88
2026-09-24,00:25:00,TALWA1,NSW1,Tallawarra,177.0,76.0,-101.0
2026-09-24,00:50:00,TUMUT3,NSW1,Tumut3,308.44,123.44,-185.0
2026-09-24,00:55:00,W/HOE#2,QLD1,Wivenhoe,164.95,45.37,-119.57999999999998
2026-09-24,01:25:00,TUMUT3,NSW1,Tumut3,241.88998,118.07,-123.81998000000002
2026-09-24,01:25:00,UPPTUMUT,NSW1,Upper Tumut,561.61963,458.22491,-103.39472
2026-09-24,01:30:00,TUMUT3,NSW1,Tumut3,118.07,-0.29,-118.36
2026-09-24,01:50:00,MURRAY,VIC1,Murray,108.10001,1.3,-106.80001
2026-09-24,01:55:00,W/HOE#2,QLD1,Wivenhoe,163.39999,0.0,-163.39999
2026-09-24,02:10:00,TUMUT3,NSW1,Tumut3,253.03,121.13,-131.9
2026-09-24,02:40:00,W/HOE#2,QLD1,Wivenhoe,164.12,0.0,-164.12
2026-09-24,02:40:00,TUMUT3,NSW1,Tumut3,116.28,0.58,-115.7
2026-09-24,02:50:00,UPPTUMUT,NSW1,Upper Tumut,407.77008,304.42413,-103.34595000000002
2026-09-24,04:00:00,W/HOE#2,QLD1,Wivenhoe,161.73999,0.0,-161.73999
2026-09-24,06:05:00,MURRAY,VIC1,Murray,106.7,-0.1,-106.8
